Category,Sub-Category,Type,Request,Network,Consensus,Application,Tx Workload,Simulation
Performance,Transaction throughput: Measure the number of transactions per second (TPS) that the protocol can handle.,Single,Benchmark the throughput of Ethereum,default,eth,default,historical,Yes
,,Single,Benchmark the throughput of PBFT,default,pbft,default,historical,Yes
,,Comparison,Compare the throughput of Ethereum and PBFT,default,"eth,pbft",default,historical,Yes
,Transaction latency (finality): Measure the time it takes for a transaction to be confirmed and added to the blockchain.,Single,Benchmark the latency of Ethereum,default,eth,default,historical,Yes
,,Single,Benchmark the latency of PBFT,default,pbft,default,historical,Yes
,,Comparison,Compare the latency of Ethereum and PBFT,default,"eth,pbft",default,historical,Yes
,"Resource Utilization: Computational resources (CPU, memory), network bandwidth, and energy consumption (especially for PoW).",Single,Benchmark the CPU usage of nodes in Ethereum,default,eth,default,historical,Yes
,,Single,Benchmark the CPU usage of nodes in PBFT,default,pbft,default,historical,Yes
,,Comparison,Compare the CPU usage of nodes in Ethereum and PBFT,default,"eth,pbft",default,historical,Yes
,,Single,Benchmark the memory usage of nodes in Ethereum,default,eth,default,historical,Yes
,,Single,Benchmark the memory usage of nodes in PBFT,default,pbft,default,historical,Yes
,,Comparison,Compare the memory usage of nodes in Ethereum and PBFT,default,"eth,pbft",default,historical,Yes
Scalability,Node scalability: Measure the protocol's ability to handle an increasing number of nodes and transactions.,Single,Benchmark the node scalability of Ethereum ,add node# from 3 to 5 to 7,eth,default,historical,Yes
,,Single,Benchmark the node scalability of PBFT,add node# from 3 to 5 to 7,pbft,default,historical,Yes
,,Comparison,Compare the node scalability of Ethereum and PBFT,add node# from 3 to 5 to 7,"eth,pbft",default,historical,Yes
,,Extreme,Benchmark the extreme node scalability of Ethereum ,add node# from 3 to 7 to 15,eth,default,historical,Yes
,,Extreme,Benchmark the extreme node scalability of PBFT,add node# from 3 to 7 to 15,pbft,default,historical,Yes
,"Network scalability: Evaluate the protocol's ability to handle a growing number of users, transactions, and data.",Single,Benchmark the network scalability of Ethereum,inject tx with higher speed,eth,default,historical,Yes
,,Single,Benchmark the network scalability of PBFT,inject tx with higher speed,pbft,default,historical,Yes
,,Comparison,Compare the network scalability of Ethereum and PBFT,inject tx with higher speed,"eth,pbft",default,historical,Yes
,Network Resilience: The ability of the consensus algorithm to adapt to changing network conditions.,Single,Benchmark the network resilience of Ethereum with dynamic nodes,dynamic node* from 5 to 3 to 7,eth,default,historical,Yes
,,Single,Benchmark the network resilience of PBFT with dynamic nodes,dynamic node* from 5 to 3 to 7,pbft,default,historical,Yes
